v1	I(D1)
4.450000000000003e-01	2.964339e-07
4.460000000000003e-01	3.081191e-07
4.470000000000003e-01	3.202650e-07
4.480000000000003e-01	3.328896e-07
4.490000000000003e-01	3.460120e-07
4.500000000000003e-01	3.596516e-07
4.510000000000003e-01	3.738288e-07
4.520000000000003e-01	3.885649e-07
4.530000000000003e-01	4.038819e-07
4.540000000000003e-01	4.198027e-07
4.550000000000003e-01	4.363511e-07
4.560000000000003e-01	4.535518e-07
4.570000000000004e-01	4.714306e-07
4.580000000000004e-01	4.900141e-07
4.590000000000004e-01	5.093302e-07
4.600000000000004e-01	5.294077e-07
4.610000000000004e-01	5.502766e-07
4.620000000000004e-01	5.719683e-07
4.630000000000004e-01	5.945149e-07
4.640000000000004e-01	6.179504e-07
4.650000000000004e-01	6.423096e-07
4.660000000000004e-01	6.676291e-07
4.670000000000004e-01	6.939467e-07
4.680000000000004e-01	7.213017e-07
4.690000000000004e-01	7.497350e-07
4.700000000000004e-01	7.792891e-07
4.710000000000004e-01	8.100083e-07
4.720000000000004e-01	8.419383e-07
4.730000000000004e-01	8.751271e-07
4.740000000000004e-01	9.096241e-07
4.750000000000004e-01	9.454810e-07
4.760000000000004e-01	9.827513e-07
4.770000000000004e-01	1.021491e-06
4.780000000000004e-01	1.061758e-06
4.790000000000004e-01	1.103611e-06
4.800000000000004e-01	1.147115e-06
4.810000000000004e-01	1.192334e-06
4.820000000000004e-01	1.239335e-06
4.830000000000004e-01	1.288189e-06
4.840000000000004e-01	1.338969e-06
4.850000000000004e-01	1.391750e-06
4.860000000000004e-01	1.446612e-06
4.870000000000004e-01	1.503637e-06
4.880000000000004e-01	1.562909e-06
4.890000000000004e-01	1.624518e-06
4.900000000000004e-01	1.688556e-06
4.910000000000004e-01	1.755118e-06
4.920000000000004e-01	1.824304e-06
4.930000000000004e-01	1.896217e-06
4.940000000000004e-01	1.970965e-06
4.950000000000004e-01	2.048659e-06
4.960000000000004e-01	2.129416e-06
4.970000000000004e-01	2.213356e-06
4.980000000000004e-01	2.300606e-06
4.990000000000004e-01	2.391294e-06
5.000000000000003e-01	2.485558e-06
5.010000000000003e-01	2.583537e-06
5.020000000000003e-01	2.685379e-06
5.030000000000003e-01	2.791235e-06
5.040000000000003e-01	2.901264e-06
5.050000000000003e-01	3.015630e-06
5.060000000000003e-01	3.134505e-06
5.070000000000003e-01	3.258065e-06
5.080000000000003e-01	3.386496e-06
5.090000000000003e-01	3.519990e-06
5.100000000000003e-01	3.658746e-06
5.110000000000003e-01	3.802972e-06
5.120000000000003e-01	3.952884e-06
5.130000000000003e-01	4.108704e-06
5.140000000000003e-01	4.270667e-06
5.150000000000003e-01	4.439014e-06
5.160000000000003e-01	4.613998e-06
5.170000000000003e-01	4.795879e-06
5.180000000000003e-01	4.984930e-06
5.190000000000003e-01	5.181434e-06
5.200000000000004e-01	5.385683e-06
5.210000000000004e-01	5.597984e-06
5.220000000000004e-01	5.818653e-06
5.230000000000004e-01	6.048022e-06
5.240000000000004e-01	6.286431e-06
5.250000000000004e-01	6.534239e-06
5.260000000000004e-01	6.791815e-06
5.270000000000004e-01	7.059545e-06
5.280000000000004e-01	7.337828e-06
5.290000000000004e-01	7.627082e-06
5.300000000000004e-01	7.927737e-06
5.310000000000004e-01	8.240244e-06
5.320000000000004e-01	8.565070e-06
5.330000000000004e-01	8.902701e-06
5.340000000000004e-01	9.253640e-06
5.350000000000004e-01	9.618414e-06
5.360000000000004e-01	9.997567e-06
5.370000000000004e-01	1.039167e-05
5.380000000000004e-01	1.080130e-05
5.390000000000004e-01	1.122708e-05
5.400000000000004e-01	1.166965e-05
5.410000000000004e-01	1.212966e-05
5.420000000000004e-01	1.260780e-05
5.430000000000004e-01	1.310480e-05
5.440000000000004e-01	1.362138e-05
5.450000000000004e-01	1.415833e-05
5.460000000000004e-01	1.471644e-05
5.470000000000004e-01	1.529655e-05
5.480000000000004e-01	1.589954e-05
5.490000000000004e-01	1.652629e-05
5.500000000000004e-01	1.717775e-05
5.510000000000004e-01	1.785488e-05
5.520000000000004e-01	1.855871e-05
5.530000000000004e-01	1.929029e-05
5.540000000000004e-01	2.005070e-05
5.550000000000004e-01	2.084109e-05
5.560000000000004e-01	2.166263e-05
5.570000000000004e-01	2.251656e-05
5.580000000000004e-01	2.340415e-05
5.590000000000004e-01	2.432673e-05
5.600000000000004e-01	2.528568e-05
5.610000000000004e-01	2.628243e-05
5.620000000000004e-01	2.731847e-05
5.630000000000004e-01	2.839535e-05
